experiment,group,reference,changed_factor,hypothesis,model,seed,params,test_accuracy,test_macro_f1,test_loss,acc_ci_low,acc_ci_high,f1_ci_low,f1_ci_high,best_epoch,epochs_run,best_val_macro_f1,train_time_s,train_time_per_epoch_s,throughput_img_s,latency_ms_bs1,device,gpu,amp,run_id,commit,dirty,split_fingerprint_train,checkpoint_sha256,run_dir
cnn,main,,,,cnn,123,1148874,0.9101,0.9098939898038123,0.3194174361228943,0.9048975,0.9158,0.9045177126712104,0.9155146761125239,45,60,0.9170318025574774,308.77361392499915,5.146226898749986,19158.792215988495,0.35913225989133934,cuda,NVIDIA GeForce RTX 3060,True,cifar10-cnn-s123-20260922-205553,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,84475048eafa55c4f0fec187f416e9e8881374caf4a7e691f5cb7f9d8c3d7cc3,outputs/runs/cifar10/cnn/seed123
cnn,main,,,,cnn,2026,1148874,0.914,0.9137068630663066,0.31878347721099853,0.9090975,0.9197025,0.9088181550378976,0.9194073687478407,59,60,0.9196248228967983,297.9288181389984,4.96548030231664,19436.779085810256,0.3649603599751572,cuda,NVIDIA GeForce RTX 3060,True,cifar10-cnn-s2026-20260922-210130,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,0659d77655fbb30d91e6a92019edb4cca2608aedb1a1db5fdce14840aa2b66b9,outputs/runs/cifar10/cnn/seed2026
cnn,main,,,,cnn,42,1148874,0.9165,0.916240730131398,0.30912007246017453,0.911,0.9219,0.9108572930875792,0.9216107131755972,57,60,0.9171699036739078,297.7699422350088,4.96283237058348,19305.75127786809,0.3461628300647135,cuda,NVIDIA GeForce RTX 3060,True,cifar10-cnn-s42-20260922-205027,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,fb17045293e673c2452ce8633bb353ce3be4265fe2253780034e57a679a330bf,outputs/runs/cifar10/cnn/seed42
gru,main,,,,gru,123,669194,0.7143,0.7137223083032546,0.9947767219543457,0.7051975,0.7237025,0.7049081718858605,0.7227597862562642,51,60,0.7148696028823798,92.9596647260023,1.5493277454333716,127735.99142011386,0.43731582499276556,cuda,NVIDIA GeForce RTX 3060,True,cifar10-gru-s123-20260922-211426,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,d32bfc1966390d331f444300a11005a09a18428fe3b8a662e19506d7e2c76956,outputs/runs/cifar10/gru/seed123
gru,main,,,,gru,2026,669194,0.7118,0.7105077166847528,1.0062412391662598,0.7036975,0.7204,0.7022944216275303,0.7187563222473282,48,60,0.7092097727144563,92.59048290800092,1.5431747151333488,118121.87401602823,0.45844168503208493,cuda,NVIDIA GeForce RTX 3060,True,cifar10-gru-s2026-20260922-211614,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,90c9dc79ee2fb5a20b3428ca143f13c3a51385a355bfce06f410c87e1288bebb,outputs/runs/cifar10/gru/seed2026
gru,main,,,,gru,42,669194,0.7122,0.7113330619940126,0.996089874458313,0.7036,0.7204075,0.7030825055936728,0.7195384294710594,57,60,0.7160399673568753,90.0620730949995,1.501034551583325,120998.93849953724,0.44843763506833056,cuda,NVIDIA GeForce RTX 3060,True,cifar10-gru-s42-20260922-211242,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,432c5d4e15db4260b69b5901d3aa37bac5fe23aa1aec757206656506027f2960,outputs/runs/cifar10/gru/seed42
linear,main,,,,linear,123,30730,0.3889,0.37911967580766365,1.769879167366028,0.3794975,0.3983025,0.36952363535942395,0.3882802384824786,57,60,0.38933636862468946,59.296120936998705,0.9882686822833118,8420587.27928491,0.032168484995054314,cuda,NVIDIA GeForce RTX 3060,True,cifar10-linear-s123-20260922-204402,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,398b66a01844200d38974074135ab7a03e983e8a388f0e46e85be9abb2b2ee8b,outputs/runs/cifar10/linear/seed123
linear,main,,,,linear,2026,30730,0.3846,0.3739492575747971,1.7765357732772826,0.3752,0.3941,0.3647371526192187,0.3830449865251111,55,60,0.39034675812216746,58.52854903599473,0.9754758172665788,9897154.643372698,0.024706154936211533,cuda,NVIDIA GeForce RTX 3060,True,cifar10-linear-s2026-20260922-204515,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,ed7918dd46516d7d8be30aaf0c15a2a626056ed723f285973ae6fe7c944376de,outputs/runs/cifar10/linear/seed2026
linear,main,,,,linear,42,30730,0.3913,0.38160357739443473,1.7694089738845826,0.3813975,0.4009025,0.3715028111701614,0.39092063981462577,60,60,0.3898947316105089,58.15201979000449,0.9692003298334081,10091382.198116422,0.029880734955440857,cuda,NVIDIA GeForce RTX 3060,True,cifar10-linear-s42-20260922-204251,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,8a629bdc8ed94240895a0d6fcd1cbcd922c70652f850a8a4130874ad67acb4a9,outputs/runs/cifar10/linear/seed42
lstm,main,,,,lstm,123,891402,0.69,0.689897183706164,1.1858763473510743,0.6817949999999999,0.699405,0.6817762217479073,0.6992738287637581,56,60,0.6957929511794207,102.93878743700589,1.7156464572834313,94805.30127953463,0.47964693503672606,cuda,NVIDIA GeForce RTX 3060,True,cifar10-lstm-s123-20260922-210845,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,190baea98db095652d74fb5c73ab72c8d88348051979bef8ee2b7600e41228d2,outputs/runs/cifar10/lstm/seed123
lstm,main,,,,lstm,2026,891402,0.6896,0.6894647123998576,1.1074331604003906,0.6805,0.6985,0.6803311396819374,0.6981712591035016,46,60,0.6898874265850117,103.91417684600492,1.7319029474334153,90615.91303376871,0.505805019993204,cuda,NVIDIA GeForce RTX 3060,True,cifar10-lstm-s2026-20260922-211043,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,45282f1f526efacef5ad4c982afe8e608d99d86802cce08bc729fb13df0c3977,outputs/runs/cifar10/lstm/seed2026
lstm,main,,,,lstm,42,891402,0.6862,0.6846222612982437,1.0944613086700439,0.6776,0.6951025000000001,0.6763494978068696,0.6928871487676217,42,57,0.6962515114359007,95.27176195199354,1.671434420210413,94445.57111045212,0.5014404450776055,cuda,NVIDIA GeForce RTX 3060,True,cifar10-lstm-s42-20260922-210655,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,be33f9a7e96bfcfffec28827f5e66335cdfd549469bf8c012df23930f1268dfd,outputs/runs/cifar10/lstm/seed42
mlp,main,,,,mlp,123,3678218,0.6149,0.6115068314094303,1.0956755739212036,0.6051974999999999,0.6246,0.6021281914260375,0.620836110739559,52,60,0.6075844527195795,65.87315256200418,1.097885876033403,642033.3195527063,0.10351115990488324,cuda,NVIDIA GeForce RTX 3060,True,cifar10-mlp-s123-20260922-204747,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,af20620d0f32e659146b7e3e9a26ab52434e30c38950508da0717b11a4119b9f,outputs/runs/cifar10/mlp/seed123
mlp,main,,,,mlp,2026,3678218,0.613,0.6091973519098022,1.0881833168029784,0.6039924999999999,0.6224025,0.6000771717834307,0.6183190230460174,52,60,0.6111417840160589,65.53955698901336,1.0923259498168894,701158.1708748708,0.09787647002667654,cuda,NVIDIA GeForce RTX 3060,True,cifar10-mlp-s2026-20260922-204907,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,3cc1fc3f5fe4209c53e33c603c2b683876fb7f69e7874b0a7ba4c09c78ef43d7,outputs/runs/cifar10/mlp/seed2026
mlp,main,,,,mlp,42,3678218,0.616,0.6121504412689759,1.0920811008453368,0.6070924999999999,0.6256025000000001,0.6034611606765562,0.6209855372940547,56,60,0.6107739149744739,65.08552546900864,1.0847587578168107,611258.2694282013,0.11274459497144562,cuda,NVIDIA GeForce RTX 3060,True,cifar10-mlp-s42-20260922-204627,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,7c9568daca7c528de603ebaf93c1dbd93a0f8bdebd2dce6f9a2795a32ac72f01,outputs/runs/cifar10/mlp/seed42
transformer,main,,,,transformer,123,811146,0.8007,0.7996824097910549,0.6121242637634278,0.7921975,0.8076025,0.7912960300806704,0.8066099642740303,59,60,0.8001072095818327,387.2118208230004,6.453530347050006,17201.155552683733,1.111233599976913,cuda,NVIDIA GeForce RTX 3060,True,cifar10-transformer-s123-20260922-212451,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,8231dd0a3628b4f9425ece5686442e0a7f5c2cdd2d813932233521dfe55d4d59,outputs/runs/cifar10/transformer/seed123
transformer,main,,,,transformer,2026,811146,0.7963,0.7947503465672222,0.6382597476005554,0.7890975,0.8043025,0.7873418020637638,0.8024960596769474,59,60,0.7970627860847018,368.2396133250004,6.137326888750007,16852.676792104146,1.1515937048716296,cuda,NVIDIA GeForce RTX 3060,True,cifar10-transformer-s2026-20260922-213150,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,f7694a44fa4dde5bf988814665f7b13f4596ba8917498eff51deb02ba5132846,outputs/runs/cifar10/transformer/seed2026
transformer,main,,,,transformer,42,811146,0.7939,0.7923337913617969,0.6306886360168457,0.7861975,0.8018025,0.784534595903924,0.8001845722029297,54,60,0.7950136460037744,378.9007123250067,6.315011872083445,16723.702527510388,1.1992012400150998,cuda,NVIDIA GeForce RTX 3060,True,cifar10-transformer-s42-20260922-211801,4255cd22b2646ade4032fc561812bbcb1670bf90,True,b99301bfd9655f1c,5271b69676d3ffc2c524416b53cb06ecb40d26b1f3e2568d32565790b40c17f2,outputs/runs/cifar10/transformer/seed42
