model_a,model_b,seed,acc_a,acc_b,a_right_b_wrong,a_wrong_b_right,statistic,p_value,method
linear,mlp,42,0.7613,0.8899,245,1531,929.7438063063063,3.357300542826309e-204,chi2 with continuity correction
linear,cnn,42,0.7613,0.9406,161,1954,1518.3281323877068,0.0,chi2 with continuity correction
linear,lstm,42,0.7613,0.9083,262,1732,1082.2271815446338,2.4084293623503037e-237,chi2 with continuity correction
linear,gru,42,0.7613,0.9097,252,1736,1106.2821931589538,1.4239326692999647e-242,chi2 with continuity correction
linear,transformer,42,0.7613,0.8753,331,1471,719.933962264151,1.3836268978529669e-158,chi2 with continuity correction
mlp,cnn,42,0.8899,0.9406,169,676,303.00118343195265,7.31013235243582e-68,chi2 with continuity correction
mlp,lstm,42,0.8899,0.9083,228,412,52.3265625,4.69974291904961e-13,chi2 with continuity correction
mlp,gru,42,0.8899,0.9097,238,436,57.58011869436202,3.244889199665669e-14,chi2 with continuity correction
mlp,transformer,42,0.8899,0.8753,425,279,29.865056818181817,4.631857966001509e-08,chi2 with continuity correction
cnn,lstm,42,0.9406,0.9083,509,186,149.18561151079138,2.611973726500094e-34,chi2 with continuity correction
cnn,gru,42,0.9406,0.9097,513,204,132.3068340306834,1.281924071806932e-30,chi2 with continuity correction
cnn,transformer,42,0.9406,0.8753,808,155,441.43717549325027,5.268204056787395e-98,chi2 with continuity correction
lstm,gru,42,0.9083,0.9097,234,248,0.3506224066390041,0.5537610120809385,chi2 with continuity correction
lstm,transformer,42,0.9083,0.8753,585,255,128.85833333333332,7.283580744250929e-30,chi2 with continuity correction
gru,transformer,42,0.9097,0.8753,611,267,133.99658314350796,5.472958325574788e-31,chi2 with continuity correction
