,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
linear,0.765072187682279,0.895547282284392,0.6264145805287895,0.77493782186192,0.6773772671795788,0.8221737259311519,0.4326089568601481,0.8493760324304375,0.8745688992624582,0.8578977225766028
mlp,0.8369667017376866,0.9823558786834433,0.8169472590488175,0.8964382629140742,0.8116231727897377,0.9607381493839277,0.7004193134055301,0.9442994805988998,0.9740525429864597,0.9575387513201886
cnn,0.8968619584952536,0.9936568132049377,0.9226391083357424,0.943258946421721,0.915511348688673,0.9869734390954537,0.8215127622602116,0.9708074969295158,0.9913648842596728,0.9721182761888977
lstm,0.8451834072697674,0.9865821286261719,0.8543583900121412,0.9091065576304754,0.8504520757445592,0.9749196475150551,0.740962529489853,0.9617582666767811,0.982874058312088,0.9678171256464546
gru,0.853055081029133,0.9854333988844731,0.8446114189158781,0.9148047288174456,0.846595203789157,0.9762459740844189,0.7514284690813812,0.960602815330954,0.9820543263355557,0.9673091565687549
transformer,0.8250818758501935,0.980758092360776,0.8125437322263275,0.8960685171216015,0.800429276849086,0.9545885428243842,0.6717866101513148,0.930792120135321,0.9731950026618795,0.9520106595497072
cnn_no_aug,0.8913525481126819,0.9924756458918985,0.9126503583603224,0.9390998717843693,0.9131274721219426,0.9883377215071943,0.8123907139704531,0.9728988630167438,0.9905155464773462,0.975276108382257
gru_patches,0.8425792633977213,0.9842492165873781,0.8268510801136656,0.9073923230794333,0.8224455524658509,0.9695758293889183,0.7245997584202554,0.9511506264298242,0.9784195482487594,0.9613706981497457
mlp_no_aug,0.8587382830135087,0.987947596471388,0.8349993412595578,0.9152983547739995,0.8495837964323242,0.9768836878148416,0.7483776165333648,0.9619325982882873,0.9802851096342508,0.9673394344610955
transformer_no_pos,0.7570045924308978,0.9628083150224179,0.7495804928668997,0.808939242861835,0.6537071986964665,0.9313580696926661,0.5906173189824285,0.9152926982552593,0.9389946286737932,0.9230572712155706
transformer_rows,0.8481936758893281,0.985945234587048,0.8562366828013692,0.9051335953922645,0.8534400341019225,0.9737595794676208,0.7429023447624218,0.9572837395009288,0.9819467870675108,0.9675242870202444
