experiment,group,reference,changed_factor,hypothesis,model,seed,params,test_accuracy,test_macro_f1,test_loss,acc_ci_low,acc_ci_high,f1_ci_low,f1_ci_high,best_epoch,epochs_run,best_val_macro_f1,train_time_s,train_time_per_epoch_s,throughput_img_s,latency_ms_bs1,device,gpu,amp,run_id,commit,dirty,split_fingerprint_train,checkpoint_sha256,run_dir
cnn,main,,,,cnn,123,288170,0.9411,0.9409635267815044,0.16904171562194825,0.9363,0.9457,0.9361689224024606,0.9453435308322033,37,40,0.9492685363944855,92.16484261400001,2.3041210653500004,69165.93149041945,0.33574975499504944,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-cnn-s123-20260922-195548,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,8c5f03cd2ed1608228227ca74a5f9fc4f1842b151bce85662af00a15f9fedf7f,outputs/runs/fashion_mnist/cnn/seed123
cnn,main,,,,cnn,2026,288170,0.9431,0.9430303080306972,0.16400803360939026,0.938595,0.9472025000000001,0.9385321663735249,0.9470595828673628,36,40,0.9487844924297217,98.00000249200184,2.450000062300046,70171.60762686218,0.3385093849965415,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-cnn-s2026-20260922-195732,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,894c8134867c9700f5a38c26388225618f147bcb34dbed15a121d44ede589e2c,outputs/runs/fashion_mnist/cnn/seed2026
cnn,main,,,,cnn,42,288170,0.9406,0.9404176753518222,0.17302269959449768,0.9359,0.9452025000000001,0.9357750022766539,0.9449644651813583,39,40,0.9503500374983596,92.10331051200046,2.3025827628000117,76833.87943735211,0.3105172250070609,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-cnn-s42-20260922-194817,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,da575860cdf261999b54ab29e64a53a77d676abd1b2a3c596500e9f1c37608e3,outputs/runs/fashion_mnist/cnn/seed42
cnn_no_aug,ablation,cnn,augmentation (random crop pad=2 + horizontal flip) -> none,"Convolution + pooling already give approximate translation invariance, so removing augmentation should cause only a small drop in test macro-F1 but a larger train-val gap.",cnn,123,288170,0.9395,0.9394504875129902,0.22357056410312653,0.9349,0.9443025,0.9348973993686529,0.9441323945510722,24,34,0.947412629896905,83.62086820200147,2.459437300058867,65517.60827439154,0.3706486749479154,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-cnn_no_aug-s123-20260922-201640,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,c741dbe7dbe5921e52b1f701dd94e73b78be364f8ab0a024f4079b511634a18c,outputs/runs/fashion_mnist/cnn_no_aug/seed123
cnn_no_aug,ablation,cnn,augmentation (random crop pad=2 + horizontal flip) -> none,"Convolution + pooling already give approximate translation invariance, so removing augmentation should cause only a small drop in test macro-F1 but a larger train-val gap.",cnn,2026,288170,0.9381,0.9381001524915273,0.27175131845474243,0.9327975,0.9424025,0.9328374395624119,0.9424029156127165,36,40,0.948850055939132,98.18953618799696,2.454738404699924,64378.35319126753,0.31405729506786884,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-cnn_no_aug-s2026-20260922-201815,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,5f6e66e40adf586155d3bd8f13ebde62f685b4a71ef94ca8b9feb51a0e5de09b,outputs/runs/fashion_mnist/cnn_no_aug/seed2026
cnn_no_aug,ablation,cnn,augmentation (random crop pad=2 + horizontal flip) -> none,"Convolution + pooling already give approximate translation invariance, so removing augmentation should cause only a small drop in test macro-F1 but a larger train-val gap.",cnn,42,288170,0.9388,0.938886814883045,0.2615070625305176,0.934,0.9433025,0.9342781811297738,0.9430882947014136,36,40,0.9464225355474362,97.29890280699965,2.4324725701749914,70090.71452415467,0.3292387349301862,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-cnn_no_aug-s42-20260922-201450,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,430a3eedc1374e95fb34c7aa7e5ddc47c86309fdab1c7ce1296a5e6c9547b774,outputs/runs/fashion_mnist/cnn_no_aug/seed42
gru,main,,,,gru,123,161034,0.906,0.9057719231216114,0.25838690485954285,0.9006,0.9114,0.9003737366749521,0.910871061001949,38,40,0.9179306967335015,49.2772727399979,1.2319318184999475,196162.86434208782,0.1810206950040083,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-gru-s123-20260922-200311,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,d31761cd8476ba08bee7a6fa3925b3a626e2d9c98a94a8418f2700e1f04ba952,outputs/runs/fashion_mnist/gru/seed123
gru,main,,,,gru,2026,161034,0.9095,0.9093592842829465,0.25246251525878904,0.9037975,0.9154,0.903936651185636,0.9148510544200456,40,40,0.9186557812287763,46.508555069001886,1.1627138767250471,211480.81776438732,0.16694221498255502,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-gru-s2026-20260922-200411,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,2a66bf469bed6a9eecfe8ca0681cd554a28e908f6850e458ccb53403e3f6664e,outputs/runs/fashion_mnist/gru/seed2026
gru,main,,,,gru,42,161034,0.9097,0.9095109644465873,0.2532480312585831,0.9032975,0.9149,0.90319454478853,0.9147061582936761,38,40,0.9132961774233633,46.26646394600175,1.1566615986500437,212287.5869886275,0.15762609999910637,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-gru-s42-20260922-200216,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,a6322f2f913d784394d1bfd1fd6915b74d179508c92e7d556d7bac682e413952,outputs/runs/fashion_mnist/gru/seed42
gru_patches,ablation,gru,timestep definition: rows (28 steps x 28 dims) -> 4x4 patches in raster order (49 steps x 16 dims),"Patch sequences are longer and each step carries less context, and vertically adjacent patches are 7 steps apart, so the GRU is expected to perform no better than with rows.",gru,123,156426,0.8957,0.8956066227065514,0.28121753678321837,0.8895974999999999,0.9014025,0.8896381878923153,0.9010527484582217,39,40,0.9128606762907652,52.60158862800017,1.3150397157000042,134546.28773887607,0.22894408501088037,cuda,NVIDIA GeForce RTX 3060,True,fashion_mnist-gru_patches-s123-20260922-202109,4255cd22b2646ade4032fc561812bbcb1670bf90,True,2378c8b39f1d0606,1f34012adbf818dbc57f07b8e3905f251494fb93b1ff8630d9ed75d85af52c95,outputs/runs/fashion_mnist/gru_patches/seed123
