experiment,group,model,reference,changed_factor,hypothesis,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_loss_mean,test_loss_std,params_mean,params_std,best_epoch_mean,best_epoch_std,epochs_run_mean,epochs_run_std,train_time_s_mean,train_time_s_std,train_time_per_epoch_s_mean,train_time_per_epoch_s_std,throughput_img_s_mean,throughput_img_s_std,latency_ms_bs1_mean,latency_ms_bs1_std,n_seeds,seeds
linear,main,linear,,,,0.7599666666666667,0.0011590225767142315,0.7575974476597759,0.0017750613642462112,0.7007536164919536,0.0019901841910924816,7850.0,0.0,23.666666666666668,1.5275252316519472,33.666666666666664,1.5275252316519456,32.22359376233453,2.36936648467528,0.9563158964957639,0.027422690834399667,15972514.407797463,28385.955329730998,0.01945959834453485,0.0022774856294233534,3,42 123 2026
mlp,main,mlp,,,,0.8885333333333333,0.0013503086067019024,0.8881379512868767,0.0012463780590513426,0.30597336781024936,0.0012290330621151588,536586.0,0.0,38.333333333333336,1.5275252316519474,40.0,0.0,38.600260626998534,1.0003805563256574,0.9650065156749633,0.025009513908141472,2433203.7442354416,87239.63254240727,0.09442323833051584,0.005353658425757954,3,42 123 2026
cnn,main,cnn,,,,0.9416000000000001,0.001322875655532307,0.941470503388008,0.0013781260241131112,0.1686908162752787,0.004517565546772173,288170.0,0.0,37.333333333333336,1.5275252316519456,40.0,0.0,94.08938520600077,3.3868336566876,2.3522346301500194,0.08467084141719002,72057.13951821125,4167.226813384173,0.32825878833288397,0.015426476959092949,3,42 123 2026
lstm,main,lstm,,,,0.9076,0.0012999999999999924,0.9074014186923346,0.0011597783599829666,0.25807734018166856,0.0030502690288898913,214282.0,0.0,35.0,3.605551275463989,40.0,0.0,47.63931838900013,2.8636603572619954,1.1909829597250035,0.07159150893154975,126021.99622167356,6209.64181387449,0.2490772616541411,0.017990757141958906,3,42 123 2026
gru,main,gru,,,,0.9084,0.002080865204668412,0.9082140572837151,0.0021163095632009644,0.2546991504589717,0.003217748939193715,161034.0,0.0,38.666666666666664,1.154700538379251,40.0,0.0,47.35076391833385,1.6727908440450445,1.1837690979583462,0.04181977110112617,206643.75636503423,9085.677869195642,0.16852966999522323,0.011777808748819946,3,42 123 2026
transformer,main,transformer,,,,0.8803000000000001,0.004689349635077369,0.8797254429730591,0.004738425270452502,0.32062848134040833,0.012102351557382686,306826.0,0.0,37.333333333333336,0.5773502691896247,40.0,0.0,130.7995738653323,3.9666207683674237,3.2699893466333076,0.09916551920918586,37770.539431665115,2453.1767457571714,0.7700595466894811,0.09740592649221823,3,42 123 2026
cnn_no_aug,ablation,cnn,cnn,augmentation (random crop pad=2 + horizontal flip) -> none,"Convolution + pooling already give approximate translation invariance, so removing augmentation should cause only a small drop in test macro-F1 but a larger train-val gap.",0.9388,0.0007000000000000062,0.9388124849625209,0.0006782292166820609,0.2522763150294622,0.02538210584336668,288170.0,0.0,32.0,6.928203230275509,38.0,3.4641016151377544,93.03643573233269,8.166271541744578,2.4488827583112607,0.014404534369405695,66662.22532993792,3023.305997124964,0.3379815683153235,0.029291191865168938,3,42 123 2026
gru_patches,ablation,gru,gru,timestep definition: rows (28 steps x 28 dims) -> 4x4 patches in raster order (49 steps x 16 dims),"Patch sequences are longer and each step carries less context, and vertically adjacent patches are 7 steps apart, so the GRU is expected to perform no better than with rows.",0.8968666666666666,0.0016072751268321722,0.8968633896281553,0.0016489274050815901,0.27958870463371277,0.0014296692713045133,156426.0,0.0,37.666666666666664,3.214550253664317,40.0,0.0,57.932984344332304,8.576968169463765,1.4483246086083075,0.21442420423659414,130864.68580874614,3337.5601813209264,0.24079801000425505,0.01763778470951294,3,42 123 2026
mlp_no_aug,ablation,mlp,mlp,augmentation (random crop pad=2 + horizontal flip) -> none,"An MLP on flattened pixels has no built-in translation invariance, so augmentation acts as a stronger regularizer for it than for the CNN; removing it should widen the train-val gap more than for cnn_no_aug.",0.9082666666666667,0.002657693235370392,0.9081385818682617,0.002846699261147556,0.33682586704889933,0.003645995901096311,536586.0,0.0,36.0,5.291502622129181,40.0,0.0,36.70770882166622,1.4486822032065791,0.9176927205416557,0.03621705508016445,2405011.9835229227,131848.7301358632,0.10295157831933466,0.015210659364445222,3,42 123 2026
transformer_no_pos,ablation,transformer,transformer,positional encoding: learned -> none,"Self-attention is permutation-equivariant; without positional encoding the CLS output only sees an unordered set of patches, so macro-F1 is expected to drop.",0.8237333333333333,0.008360821331264782,0.8231359828698235,0.00809397147616945,0.4815445689201355,0.02246314755158628,302026.0,0.0,37.333333333333336,2.88675134594813,40.0,0.0,138.56436342966603,0.7664630391427472,3.4641090857416508,0.019161575978569045,34277.25682768295,399.2968398292084,0.8460088149665049,0.08220633100613557,3,42 123 2026
transformer_rows,ablation,transformer,transformer,token representation: 4x4 patches (49 tokens) -> image rows (28 tokens of dim 28),"Row tokens mix pixels from the whole width and lose 2D locality inside a token, so macro-F1 is expected to be lower than with patch tokens.",0.9073666666666668,0.0026727015047201576,0.9072365960590659,0.0025055787759420316,0.2555848500172297,0.004640114762216406,305962.0,0.0,36.333333333333336,3.214550253664319,40.0,0.0,120.58759441533645,2.5913555463344475,3.0146898603834114,0.06478388865836124,51523.81936773474,1388.8867335957466,0.8526214000206286,0.017317784566794045,3,42 123 2026
