class,mean_brightness,std_brightness,mean_nonzero_pixel_fraction
airplane,0.5591496825218201,0.13861368596553802,0.9975888729095459
automobile,0.4570673704147339,0.12085907906293869,0.9961382150650024
bird,0.46789810061454773,0.13420872390270233,0.9985113143920898
cat,0.45634788274765015,0.12895791232585907,0.9966771006584167
deer,0.4379463493824005,0.11004085093736649,0.9985273480415344
dog,0.45954394340515137,0.11251139640808105,0.9975368976593018
frog,0.41821184754371643,0.1210717186331749,0.9969062209129333
horse,0.4656616151332855,0.10249677300453186,0.9973074197769165
ship,0.5231175422668457,0.11170296370983124,0.9986076354980469
truck,0.4873808026313782,0.10194914042949677,0.9981599450111389
