,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.9999999999999999,0.5313418803239375,0.1489231652980212,-0.4859269615478764,-0.33855167202276104,-0.6961884159264511,-0.40941075339817296,0.20680540215697882,0.8006100700660818,0.7609340261953658
automobile,0.5313418803239374,1.0,0.32076141972484573,-0.01032590419721223,0.006023999581066532,-0.24765739929221842,0.21400587452526437,0.33267125988985224,0.6947385618880042,0.8835852004890165
bird,0.1489231652980212,0.32076141972484573,1.0,0.5767123967511496,0.7962210145813663,0.31106892745093706,0.6994191273323521,0.8499311077924232,0.049736820359398276,0.40621602348908425
cat,-0.48592696154787635,-0.01032590419721223,0.5767123967511496,1.0,0.8107800470307925,0.7807440720728464,0.8819584690384982,0.6548936534978098,-0.4746301188020881,-0.017340229687297842
deer,-0.33855167202276104,0.006023999581066531,0.7962210145813663,0.8107800470307926,1.0,0.6955407854103381,0.8841632751415969,0.7285389405128666,-0.4205556469285339,-0.0381420349633659
dog,-0.6961884159264511,-0.24765739929221842,0.31106892745093706,0.7807440720728464,0.6955407854103381,1.0,0.735654165264454,0.2861595802450255,-0.49736818728839743,-0.3471786645023097
frog,-0.40941075339817296,0.21400587452526437,0.6994191273323521,0.8819584690384981,0.8841632751415968,0.735654165264454,0.9999999999999999,0.6515829696269684,-0.2924183960828428,0.10527189003449412
horse,0.20680540215697882,0.3326712598898522,0.8499311077924232,0.6548936534978099,0.7285389405128666,0.2861595802450256,0.6515829696269683,1.0,0.014414540872771555,0.48305671013236773
ship,0.8006100700660818,0.6947385618880042,0.049736820359398276,-0.4746301188020881,-0.42055564692853387,-0.4973681872883974,-0.29241839608284287,0.014414540872771555,1.0,0.7864156164908649
truck,0.7609340261953658,0.8835852004890166,0.40621602348908425,-0.017340229687297846,-0.0381420349633659,-0.3471786645023097,0.10527189003449412,0.4830567101323678,0.7864156164908649,0.9999999999999999
