class,mean_brightness,std_brightness,mean_nonzero_pixel_fraction
T-shirt/top,0.3255806863307953,0.11308518052101135,0.5938307642936707
Trouser,0.22315949201583862,0.057077836245298386,0.3490705192089081
Pullover,0.3771304786205292,0.12822309136390686,0.6483607292175293
Dress,0.25848495960235596,0.08364814519882202,0.42665863037109375
Coat,0.3848889470100403,0.10377754271030426,0.6019374132156372
Sandal,0.13675431907176971,0.061717282980680466,0.32101237773895264
Shirt,0.3327026963233948,0.12902262806892395,0.6286652088165283
Sneaker,0.1678924560546875,0.05038400739431381,0.33810728788375854
Bag,0.3540443480014801,0.1129726842045784,0.5861328840255737
Ankle boot,0.3014516532421112,0.07185740023851395,0.4847942888736725
