,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,1.0,0.7298818272316024,0.7282519456962757,0.8584492595019583,0.7580005704703867,0.1299405667753332,0.868601119028261,0.13051382930694805,0.42509324598330317,0.25030384054501015
Trouser,0.7298818272316024,0.9999999999999998,0.5604835329976937,0.8785298897448108,0.6416467385122548,0.06928753853989468,0.6518753417706378,0.13492732508370006,0.2648482170224586,0.16781838215547698
Pullover,0.7282519456962758,0.5604835329976937,1.0,0.6477898744832618,0.957572920752042,0.3836671460581258,0.9474037943295224,0.3199621842946571,0.6563610694063386,0.4141731396827831
Dress,0.8584492595019583,0.8785298897448108,0.6477898744832618,0.9999999999999998,0.7395790984568896,0.16784448846319608,0.7868576763555899,0.20685355613473483,0.43404044904417866,0.2733903003577924
Coat,0.7580005704703866,0.641646738512255,0.957572920752042,0.7395790984568896,1.0,0.3916087309156976,0.9665967768658037,0.34329297928011504,0.689110193339022,0.42161767724754157
Sandal,0.1299405667753332,0.0692875385398947,0.3836671460581258,0.16784448846319608,0.3916087309156976,1.0,0.34246840236007026,0.8760016530403668,0.7561775974575384,0.8485230064762893
Shirt,0.8686011190282611,0.6518753417706378,0.9474037943295224,0.7868576763555899,0.9665967768658037,0.3424684023600703,1.0,0.2948698130992812,0.659843201024897,0.39536542987863094
Sneaker,0.13051382930694805,0.13492732508370006,0.3199621842946571,0.20685355613473486,0.3432929792801151,0.8760016530403668,0.2948698130992812,1.0,0.6728571256738783,0.6662516929711567
Bag,0.42509324598330317,0.26484821702245853,0.6563610694063386,0.43404044904417866,0.689110193339022,0.7561775974575384,0.6598432010248969,0.6728571256738783,1.0,0.685913897273347
Ankle boot,0.25030384054501015,0.16781838215547698,0.4141731396827831,0.27339030035779244,0.4216176772475415,0.8485230064762893,0.3953654298786309,0.6662516929711567,0.6859138972733468,1.0
