2026-09-22 21:06:56 | INFO | Run cifar10-lstm-s42-20260922-210655 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 21:06:56 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 21:06:56 | INFO | Dataset cifar10 | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/cifar10_split42_val0.1.json | train/val/test = 45000/5000/10000 | fingerprints {'train': 'b99301bfd9655f1c', 'val': '280540fcdfde8a41'}
2026-09-22 21:06:56 | INFO | Model lstm | trainable parameters: 891,402
2026-09-22 21:07:01 | INFO | epoch   1 | lr 2.85e-06 | train loss 1.9677 acc 0.2653 | val loss 1.6937 acc 0.3770 macroF1 0.3458 | 4.2s  *best*
2026-09-22 21:07:02 | INFO | epoch   2 | lr 1.00e-03 | train loss 1.6465 acc 0.3947 | val loss 1.5094 acc 0.4488 macroF1 0.4481 | 1.6s  *best*
2026-09-22 21:07:04 | INFO | epoch   3 | lr 9.99e-04 | train loss 1.4994 acc 0.4533 | val loss 1.4075 acc 0.4948 macroF1 0.4870 | 1.6s  *best*
2026-09-22 21:07:06 | INFO | epoch   4 | lr 9.97e-04 | train loss 1.4007 acc 0.4910 | val loss 1.3241 acc 0.5134 macroF1 0.5130 | 1.6s  *best*
2026-09-22 21:07:08 | INFO | epoch   5 | lr 9.94e-04 | train loss 1.3211 acc 0.5238 | val loss 1.2590 acc 0.5464 macroF1 0.5452 | 1.6s  *best*
2026-09-22 21:07:09 | INFO | epoch   6 | lr 9.89e-04 | train loss 1.2545 acc 0.5469 | val loss 1.2458 acc 0.5610 macroF1 0.5591 | 1.6s  *best*
2026-09-22 21:07:11 | INFO | epoch   7 | lr 9.83e-04 | train loss 1.2016 acc 0.5669 | val loss 1.1752 acc 0.5764 macroF1 0.5705 | 1.6s  *best*
2026-09-22 21:07:13 | INFO | epoch   8 | lr 9.75e-04 | train loss 1.1535 acc 0.5884 | val loss 1.1299 acc 0.5934 macroF1 0.5902 | 1.6s  *best*
2026-09-22 21:07:15 | INFO | epoch   9 | lr 9.66e-04 | train loss 1.1037 acc 0.6028 | val loss 1.0896 acc 0.6092 macroF1 0.6070 | 1.7s  *best*
2026-09-22 21:07:16 | INFO | epoch  10 | lr 9.56e-04 | train loss 1.0676 acc 0.6172 | val loss 1.0800 acc 0.6104 macroF1 0.6069 | 1.6s
2026-09-22 21:07:18 | INFO | epoch  11 | lr 9.44e-04 | train loss 1.0304 acc 0.6319 | val loss 1.0570 acc 0.6174 macroF1 0.6165 | 1.6s  *best*
