2026-09-22 20:46:27 | INFO | Run cifar10-mlp-s42-20260922-204627 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:46:27 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:46:28 | INFO | Dataset cifar10 | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/cifar10_split42_val0.1.json | train/val/test = 45000/5000/10000 | fingerprints {'train': 'b99301bfd9655f1c', 'val': '280540fcdfde8a41'}
2026-09-22 20:46:28 | INFO | Model mlp | trainable parameters: 3,678,218
2026-09-22 20:46:32 | INFO | epoch   1 | lr 2.85e-06 | train loss 1.9037 acc 0.3083 | val loss 1.6896 acc 0.3916 macroF1 0.3737 | 3.5s  *best*
2026-09-22 20:46:33 | INFO | epoch   2 | lr 1.00e-03 | train loss 1.7162 acc 0.3767 | val loss 1.5361 acc 0.4508 macroF1 0.4460 | 1.0s  *best*
2026-09-22 20:46:34 | INFO | epoch   3 | lr 9.99e-04 | train loss 1.6394 acc 0.4044 | val loss 1.4892 acc 0.4648 macroF1 0.4592 | 1.0s  *best*
2026-09-22 20:46:35 | INFO | epoch   4 | lr 9.97e-04 | train loss 1.5944 acc 0.4231 | val loss 1.4624 acc 0.4752 macroF1 0.4673 | 1.0s  *best*
2026-09-22 20:46:36 | INFO | epoch   5 | lr 9.94e-04 | train loss 1.5650 acc 0.4323 | val loss 1.4186 acc 0.4920 macroF1 0.4796 | 1.0s  *best*
2026-09-22 20:46:37 | INFO | epoch   6 | lr 9.89e-04 | train loss 1.5355 acc 0.4460 | val loss 1.4005 acc 0.5022 macroF1 0.4959 | 1.1s  *best*
2026-09-22 20:46:39 | INFO | epoch   7 | lr 9.83e-04 | train loss 1.5116 acc 0.4566 | val loss 1.3764 acc 0.5026 macroF1 0.4917 | 1.0s
2026-09-22 20:46:40 | INFO | epoch   8 | lr 9.75e-04 | train loss 1.4945 acc 0.4596 | val loss 1.3679 acc 0.5164 macroF1 0.5051 | 1.1s  *best*
2026-09-22 20:46:41 | INFO | epoch   9 | lr 9.66e-04 | train loss 1.4770 acc 0.4663 | val loss 1.3272 acc 0.5174 macroF1 0.5077 | 1.0s  *best*
2026-09-22 20:46:42 | INFO | epoch  10 | lr 9.56e-04 | train loss 1.4589 acc 0.4738 | val loss 1.3232 acc 0.5252 macroF1 0.5133 | 1.1s  *best*
2026-09-22 20:46:43 | INFO | epoch  11 | lr 9.44e-04 | train loss 1.4462 acc 0.4785 | val loss 1.3152 acc 0.5346 macroF1 0.5271 | 1.0s  *best*
2026-09-22 20:46:44 | INFO | epoch  12 | lr 9.31e-04 | train loss 1.4288 acc 0.4836 | val loss 1.2999 acc 0.5354 macroF1 0.5277 | 1.0s  *best*
2026-09-22 20:46:45 | INFO | epoch  13 | lr 9.17e-04 | train loss 1.4230 acc 0.4881 | val loss 1.2883 acc 0.5360 macroF1 0.5276 | 1.0s
2026-09-22 20:46:47 | INFO | epoch  14 | lr 9.02e-04 | train loss 1.4045 acc 0.4958 | val loss 1.2714 acc 0.5412 macroF1 0.5337 | 1.0s  *best*
2026-09-22 20:46:48 | INFO | epoch  15 | lr 8.86e-04 | train loss 1.3903 acc 0.5005 | val loss 1.2744 acc 0.5420 macroF1 0.5392 | 1.0s  *best*
2026-09-22 20:46:49 | INFO | epoch  16 | lr 8.69e-04 | train loss 1.3814 acc 0.5035 | val loss 1.2648 acc 0.5470 macroF1 0.5426 | 1.0s  *best*
2026-09-22 20:46:50 | INFO | epoch  17 | lr 8.50e-04 | train loss 1.3721 acc 0.5067 | val loss 1.2496 acc 0.5544 macroF1 0.5464 | 1.0s  *best*
2026-09-22 20:46:51 | INFO | epoch  18 | lr 8.31e-04 | train loss 1.3607 acc 0.5127 | val loss 1.2365 acc 0.5630 macroF1 0.5586 | 1.0s  *best*
2026-09-22 20:46:52 | INFO | epoch  19 | lr 8.11e-04 | train loss 1.3552 acc 0.5154 | val loss 1.2432 acc 0.5558 macroF1 0.5516 | 1.0s
2026-09-22 20:46:53 | INFO | epoch  20 | lr 7.90e-04 | train loss 1.3454 acc 0.5175 | val loss 1.2279 acc 0.5674 macroF1 0.5646 | 1.1s  *best*
2026-09-22 20:46:55 | INFO | epoch  21 | lr 7.68e-04 | train loss 1.3400 acc 0.5176 | val loss 1.2205 acc 0.5600 macroF1 0.5577 | 1.1s
2026-09-22 20:46:56 | INFO | epoch  22 | lr 7.45e-04 | train loss 1.3311 acc 0.5218 | val loss 1.2173 acc 0.5672 macroF1 0.5635 | 1.0s
2026-09-22 20:46:57 | INFO | epoch  23 | lr 7.21e-04 | train loss 1.3223 acc 0.5272 | val loss 1.2086 acc 0.5698 macroF1 0.5642 | 1.0s
2026-09-22 20:46:58 | INFO | epoch  24 | lr 6.97e-04 | train loss 1.3150 acc 0.5303 | val loss 1.1999 acc 0.5738 macroF1 0.5697 | 1.0s  *best*
2026-09-22 20:46:59 | INFO | epoch  25 | lr 6.73e-04 | train loss 1.3113 acc 0.5302 | val loss 1.1930 acc 0.5782 macroF1 0.5762 | 1.0s  *best*
2026-09-22 20:47:00 | INFO | epoch  26 | lr 6.48e-04 | train loss 1.2975 acc 0.5334 | val loss 1.1874 acc 0.5728 macroF1 0.5674 | 1.0s
2026-09-22 20:47:01 | INFO | epoch  27 | lr 6.22e-04 | train loss 1.2894 acc 0.5387 | val loss 1.1959 acc 0.5752 macroF1 0.5704 | 1.0s
2026-09-22 20:47:02 | INFO | epoch  28 | lr 5.97e-04 | train loss 1.2867 acc 0.5382 | val loss 1.1834 acc 0.5844 macroF1 0.5808 | 1.0s  *best*
2026-09-22 20:47:04 | INFO | epoch  29 | lr 5.71e-04 | train loss 1.2806 acc 0.5414 | val loss 1.1723 acc 0.5852 macroF1 0.5810 | 1.0s  *best*
2026-09-22 20:47:05 | INFO | epoch  30 | lr 5.44e-04 | train loss 1.2729 acc 0.5432 | val loss 1.1700 acc 0.5870 macroF1 0.5848 | 1.1s  *best*
