2026-09-22 20:04:11 | INFO | Run fashion_mnist-gru-s2026-20260922-200411 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:04:11 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:04:11 | INFO | Dataset fashion_mnist | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/fashion_mnist_split42_val0.1.json | train/val/test = 54000/6000/10000 | fingerprints {'train': '2378c8b39f1d0606', 'val': 'c3422ec2263f2769'}
2026-09-22 20:04:11 | INFO | Model gru | trainable parameters: 161,034
2026-09-22 20:04:15 | INFO | epoch   1 | lr 2.38e-06 | train loss 1.2946 acc 0.5244 | val loss 0.6612 acc 0.7535 macroF1 0.7459 | 3.6s  *best*
2026-09-22 20:04:16 | INFO | epoch   2 | lr 1.00e-03 | train loss 0.6026 acc 0.7763 | val loss 0.4583 acc 0.8288 macroF1 0.8255 | 1.1s  *best*
2026-09-22 20:04:17 | INFO | epoch   3 | lr 9.98e-04 | train loss 0.4900 acc 0.8165 | val loss 0.4054 acc 0.8522 macroF1 0.8505 | 1.1s  *best*
2026-09-22 20:04:18 | INFO | epoch   4 | lr 9.94e-04 | train loss 0.4415 acc 0.8358 | val loss 0.3827 acc 0.8527 macroF1 0.8508 | 1.1s  *best*
2026-09-22 20:04:20 | INFO | epoch   5 | lr 9.86e-04 | train loss 0.4185 acc 0.8435 | val loss 0.3512 acc 0.8693 macroF1 0.8696 | 1.2s  *best*
2026-09-22 20:04:21 | INFO | epoch   6 | lr 9.75e-04 | train loss 0.3910 acc 0.8538 | val loss 0.3292 acc 0.8752 macroF1 0.8744 | 1.2s  *best*
2026-09-22 20:04:22 | INFO | epoch   7 | lr 9.60e-04 | train loss 0.3726 acc 0.8600 | val loss 0.3349 acc 0.8765 macroF1 0.8776 | 1.2s  *best*
2026-09-22 20:04:23 | INFO | epoch   8 | lr 9.43e-04 | train loss 0.3635 acc 0.8631 | val loss 0.3101 acc 0.8827 macroF1 0.8823 | 1.1s  *best*
2026-09-22 20:04:24 | INFO | epoch   9 | lr 9.23e-04 | train loss 0.3496 acc 0.8692 | val loss 0.3015 acc 0.8898 macroF1 0.8887 | 1.1s  *best*
2026-09-22 20:04:26 | INFO | epoch  10 | lr 9.01e-04 | train loss 0.3400 acc 0.8717 | val loss 0.2887 acc 0.8928 macroF1 0.8928 | 1.2s  *best*
2026-09-22 20:04:27 | INFO | epoch  11 | lr 8.76e-04 | train loss 0.3285 acc 0.8778 | val loss 0.2907 acc 0.8908 macroF1 0.8893 | 1.1s
2026-09-22 20:04:28 | INFO | epoch  12 | lr 8.48e-04 | train loss 0.3236 acc 0.8777 | val loss 0.2848 acc 0.8950 macroF1 0.8945 | 1.2s  *best*
2026-09-22 20:04:29 | INFO | epoch  13 | lr 8.18e-04 | train loss 0.3109 acc 0.8841 | val loss 0.2843 acc 0.8920 macroF1 0.8919 | 1.1s
2026-09-22 20:04:31 | INFO | epoch  14 | lr 7.86e-04 | train loss 0.3030 acc 0.8877 | val loss 0.2738 acc 0.8975 macroF1 0.8969 | 1.2s  *best*
2026-09-22 20:04:32 | INFO | epoch  15 | lr 7.52e-04 | train loss 0.3011 acc 0.8879 | val loss 0.2785 acc 0.8970 macroF1 0.8975 | 1.2s  *best*
2026-09-22 20:04:33 | INFO | epoch  16 | lr 7.17e-04 | train loss 0.2924 acc 0.8915 | val loss 0.2711 acc 0.8977 macroF1 0.8976 | 1.1s  *best*
2026-09-22 20:04:34 | INFO | epoch  17 | lr 6.81e-04 | train loss 0.2871 acc 0.8910 | val loss 0.2616 acc 0.9017 macroF1 0.9018 | 1.0s  *best*
2026-09-22 20:04:35 | INFO | epoch  18 | lr 6.43e-04 | train loss 0.2798 acc 0.8944 | val loss 0.2627 acc 0.9043 macroF1 0.9049 | 1.1s  *best*
