2026-09-22 20:20:05 | INFO | Run fashion_mnist-gru_patches-s42-20260922-202005 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:20:05 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:20:05 | INFO | Dataset fashion_mnist | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/fashion_mnist_split42_val0.1.json | train/val/test = 54000/6000/10000 | fingerprints {'train': '2378c8b39f1d0606', 'val': 'c3422ec2263f2769'}
2026-09-22 20:20:06 | INFO | Model gru | trainable parameters: 156,426
2026-09-22 20:20:09 | INFO | epoch   1 | lr 2.38e-06 | train loss 1.4781 acc 0.4441 | val loss 0.7367 acc 0.7297 macroF1 0.7154 | 3.7s  *best*
2026-09-22 20:20:11 | INFO | epoch   2 | lr 1.00e-03 | train loss 0.6960 acc 0.7388 | val loss 0.5736 acc 0.7820 macroF1 0.7773 | 1.2s  *best*
2026-09-22 20:20:12 | INFO | epoch   3 | lr 9.98e-04 | train loss 0.5693 acc 0.7874 | val loss 0.5087 acc 0.8045 macroF1 0.7996 | 1.2s  *best*
2026-09-22 20:20:13 | INFO | epoch   4 | lr 9.94e-04 | train loss 0.5089 acc 0.8112 | val loss 0.4715 acc 0.8203 macroF1 0.8191 | 1.2s  *best*
2026-09-22 20:20:14 | INFO | epoch   5 | lr 9.86e-04 | train loss 0.4698 acc 0.8269 | val loss 0.4388 acc 0.8355 macroF1 0.8351 | 1.2s  *best*
2026-09-22 20:20:16 | INFO | epoch   6 | lr 9.75e-04 | train loss 0.4416 acc 0.8353 | val loss 0.3937 acc 0.8573 macroF1 0.8562 | 1.2s  *best*
2026-09-22 20:20:17 | INFO | epoch   7 | lr 9.60e-04 | train loss 0.4231 acc 0.8425 | val loss 0.3875 acc 0.8573 macroF1 0.8552 | 1.2s
2026-09-22 20:20:18 | INFO | epoch   8 | lr 9.43e-04 | train loss 0.4016 acc 0.8495 | val loss 0.3857 acc 0.8568 macroF1 0.8548 | 1.3s
2026-09-22 20:20:20 | INFO | epoch   9 | lr 9.23e-04 | train loss 0.3921 acc 0.8526 | val loss 0.3624 acc 0.8615 macroF1 0.8614 | 1.4s  *best*
2026-09-22 20:20:21 | INFO | epoch  10 | lr 9.01e-04 | train loss 0.3755 acc 0.8606 | val loss 0.3551 acc 0.8663 macroF1 0.8663 | 1.3s  *best*
2026-09-22 20:20:23 | INFO | epoch  11 | lr 8.76e-04 | train loss 0.3635 acc 0.8633 | val loss 0.3405 acc 0.8745 macroF1 0.8730 | 1.3s  *best*
2026-09-22 20:20:24 | INFO | epoch  12 | lr 8.48e-04 | train loss 0.3569 acc 0.8657 | val loss 0.3247 acc 0.8807 macroF1 0.8796 | 1.4s  *best*
2026-09-22 20:20:26 | INFO | epoch  13 | lr 8.18e-04 | train loss 0.3431 acc 0.8706 | val loss 0.3211 acc 0.8790 macroF1 0.8795 | 1.3s
2026-09-22 20:20:27 | INFO | epoch  14 | lr 7.86e-04 | train loss 0.3403 acc 0.8726 | val loss 0.3312 acc 0.8773 macroF1 0.8777 | 1.3s
2026-09-22 20:20:28 | INFO | epoch  15 | lr 7.52e-04 | train loss 0.3315 acc 0.8749 | val loss 0.3141 acc 0.8855 macroF1 0.8844 | 1.3s  *best*
2026-09-22 20:20:30 | INFO | epoch  16 | lr 7.17e-04 | train loss 0.3247 acc 0.8770 | val loss 0.3081 acc 0.8897 macroF1 0.8874 | 1.3s  *best*
2026-09-22 20:20:31 | INFO | epoch  17 | lr 6.81e-04 | train loss 0.3178 acc 0.8801 | val loss 0.3113 acc 0.8847 macroF1 0.8846 | 1.3s
2026-09-22 20:20:32 | INFO | epoch  18 | lr 6.43e-04 | train loss 0.3114 acc 0.8833 | val loss 0.2974 acc 0.8890 macroF1 0.8896 | 1.3s  *best*
2026-09-22 20:20:34 | INFO | epoch  19 | lr 6.04e-04 | train loss 0.3036 acc 0.8885 | val loss 0.2869 acc 0.8937 macroF1 0.8939 | 1.3s  *best*
2026-09-22 20:20:35 | INFO | epoch  20 | lr 5.65e-04 | train loss 0.2978 acc 0.8883 | val loss 0.2889 acc 0.8908 macroF1 0.8913 | 1.3s
2026-09-22 20:20:36 | INFO | epoch  21 | lr 5.25e-04 | train loss 0.2948 acc 0.8896 | val loss 0.2836 acc 0.8938 macroF1 0.8937 | 1.3s
2026-09-22 20:20:38 | INFO | epoch  22 | lr 4.85e-04 | train loss 0.2906 acc 0.8917 | val loss 0.2747 acc 0.8998 macroF1 0.8992 | 1.2s  *best*
2026-09-22 20:20:39 | INFO | epoch  23 | lr 4.45e-04 | train loss 0.2853 acc 0.8932 | val loss 0.2777 acc 0.8962 macroF1 0.8956 | 1.3s
2026-09-22 20:20:41 | INFO | epoch  24 | lr 4.06e-04 | train loss 0.2809 acc 0.8944 | val loss 0.2754 acc 0.8992 macroF1 0.8994 | 1.4s  *best*
2026-09-22 20:20:42 | INFO | epoch  25 | lr 3.67e-04 | train loss 0.2756 acc 0.8962 | val loss 0.2751 acc 0.8975 macroF1 0.8973 | 1.3s
