2026-09-22 20:00:24 | INFO | Run fashion_mnist-lstm-s123-20260922-200024 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:00:24 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:00:24 | INFO | Dataset fashion_mnist | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/fashion_mnist_split42_val0.1.json | train/val/test = 54000/6000/10000 | fingerprints {'train': '2378c8b39f1d0606', 'val': 'c3422ec2263f2769'}
2026-09-22 20:00:24 | INFO | Model lstm | trainable parameters: 214,282
2026-09-22 20:00:28 | INFO | epoch   1 | lr 2.38e-06 | train loss 1.2762 acc 0.5257 | val loss 0.6940 acc 0.7555 macroF1 0.7508 | 3.5s  *best*
2026-09-22 20:00:29 | INFO | epoch   2 | lr 1.00e-03 | train loss 0.6452 acc 0.7656 | val loss 0.5282 acc 0.8070 macroF1 0.8030 | 1.1s  *best*
2026-09-22 20:00:30 | INFO | epoch   3 | lr 9.98e-04 | train loss 0.5284 acc 0.8068 | val loss 0.4426 acc 0.8368 macroF1 0.8361 | 1.1s  *best*
2026-09-22 20:00:31 | INFO | epoch   4 | lr 9.94e-04 | train loss 0.4750 acc 0.8244 | val loss 0.3810 acc 0.8578 macroF1 0.8569 | 1.2s  *best*
2026-09-22 20:00:32 | INFO | epoch   5 | lr 9.86e-04 | train loss 0.4393 acc 0.8364 | val loss 0.3709 acc 0.8625 macroF1 0.8608 | 1.1s  *best*
2026-09-22 20:00:34 | INFO | epoch   6 | lr 9.75e-04 | train loss 0.4147 acc 0.8441 | val loss 0.3640 acc 0.8647 macroF1 0.8630 | 1.2s  *best*
2026-09-22 20:00:35 | INFO | epoch   7 | lr 9.60e-04 | train loss 0.3903 acc 0.8540 | val loss 0.3484 acc 0.8728 macroF1 0.8711 | 1.1s  *best*
2026-09-22 20:00:36 | INFO | epoch   8 | lr 9.43e-04 | train loss 0.3778 acc 0.8589 | val loss 0.3265 acc 0.8798 macroF1 0.8797 | 1.1s  *best*
2026-09-22 20:00:37 | INFO | epoch   9 | lr 9.23e-04 | train loss 0.3611 acc 0.8654 | val loss 0.3265 acc 0.8798 macroF1 0.8790 | 1.1s
2026-09-22 20:00:38 | INFO | epoch  10 | lr 9.01e-04 | train loss 0.3515 acc 0.8690 | val loss 0.3080 acc 0.8875 macroF1 0.8875 | 1.0s  *best*
2026-09-22 20:00:39 | INFO | epoch  11 | lr 8.76e-04 | train loss 0.3405 acc 0.8731 | val loss 0.3022 acc 0.8913 macroF1 0.8908 | 1.1s  *best*
2026-09-22 20:00:40 | INFO | epoch  12 | lr 8.48e-04 | train loss 0.3313 acc 0.8762 | val loss 0.2918 acc 0.8917 macroF1 0.8911 | 1.0s  *best*
2026-09-22 20:00:42 | INFO | epoch  13 | lr 8.18e-04 | train loss 0.3196 acc 0.8813 | val loss 0.2912 acc 0.8920 macroF1 0.8916 | 1.1s  *best*
2026-09-22 20:00:43 | INFO | epoch  14 | lr 7.86e-04 | train loss 0.3123 acc 0.8836 | val loss 0.2903 acc 0.8960 macroF1 0.8956 | 1.1s  *best*
2026-09-22 20:00:44 | INFO | epoch  15 | lr 7.52e-04 | train loss 0.3043 acc 0.8856 | val loss 0.2726 acc 0.8992 macroF1 0.8992 | 1.1s  *best*
2026-09-22 20:00:45 | INFO | epoch  16 | lr 7.17e-04 | train loss 0.2982 acc 0.8892 | val loss 0.2763 acc 0.8987 macroF1 0.8980 | 1.0s
2026-09-22 20:00:46 | INFO | epoch  17 | lr 6.81e-04 | train loss 0.2898 acc 0.8909 | val loss 0.2779 acc 0.8977 macroF1 0.8981 | 1.1s
2026-09-22 20:00:47 | INFO | epoch  18 | lr 6.43e-04 | train loss 0.2828 acc 0.8934 | val loss 0.2649 acc 0.9027 macroF1 0.9023 | 1.1s  *best*
2026-09-22 20:00:49 | INFO | epoch  19 | lr 6.04e-04 | train loss 0.2786 acc 0.8960 | val loss 0.2628 acc 0.9018 macroF1 0.9020 | 1.1s
2026-09-22 20:00:50 | INFO | epoch  20 | lr 5.65e-04 | train loss 0.2715 acc 0.8980 | val loss 0.2564 acc 0.9068 macroF1 0.9070 | 1.0s  *best*
2026-09-22 20:00:51 | INFO | epoch  21 | lr 5.25e-04 | train loss 0.2642 acc 0.9011 | val loss 0.2593 acc 0.9020 macroF1 0.9022 | 1.1s
2026-09-22 20:00:52 | INFO | epoch  22 | lr 4.85e-04 | train loss 0.2605 acc 0.9020 | val loss 0.2521 acc 0.9063 macroF1 0.9064 | 1.2s
2026-09-22 20:00:53 | INFO | epoch  23 | lr 4.45e-04 | train loss 0.2532 acc 0.9047 | val loss 0.2492 acc 0.9078 macroF1 0.9075 | 1.0s  *best*
