2026-09-22 19:55:02 | INFO | Run fashion_mnist-mlp-s2026-20260922-195502 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 19:55:02 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 19:55:02 | INFO | Dataset fashion_mnist | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/fashion_mnist_split42_val0.1.json | train/val/test = 54000/6000/10000 | fingerprints {'train': '2378c8b39f1d0606', 'val': 'c3422ec2263f2769'}
2026-09-22 19:55:02 | INFO | Model mlp | trainable parameters: 536,586
2026-09-22 19:55:05 | INFO | epoch   1 | lr 2.38e-06 | train loss 0.9407 acc 0.6717 | val loss 0.5362 acc 0.8043 macroF1 0.8044 | 3.3s  *best*
2026-09-22 19:55:06 | INFO | epoch   2 | lr 1.00e-03 | train loss 0.6107 acc 0.7708 | val loss 0.4551 acc 0.8337 macroF1 0.8277 | 0.9s  *best*
2026-09-22 19:55:07 | INFO | epoch   3 | lr 9.98e-04 | train loss 0.5553 acc 0.7929 | val loss 0.4175 acc 0.8513 macroF1 0.8480 | 1.0s  *best*
2026-09-22 19:55:08 | INFO | epoch   4 | lr 9.94e-04 | train loss 0.5226 acc 0.8058 | val loss 0.4019 acc 0.8513 macroF1 0.8493 | 0.9s  *best*
2026-09-22 19:55:10 | INFO | epoch   5 | lr 9.86e-04 | train loss 0.5000 acc 0.8164 | val loss 0.3902 acc 0.8585 macroF1 0.8573 | 1.0s  *best*
2026-09-22 19:55:11 | INFO | epoch   6 | lr 9.75e-04 | train loss 0.4883 acc 0.8188 | val loss 0.3775 acc 0.8650 macroF1 0.8648 | 0.9s  *best*
2026-09-22 19:55:11 | INFO | epoch   7 | lr 9.60e-04 | train loss 0.4699 acc 0.8261 | val loss 0.3682 acc 0.8660 macroF1 0.8667 | 0.9s  *best*
2026-09-22 19:55:12 | INFO | epoch   8 | lr 9.43e-04 | train loss 0.4631 acc 0.8269 | val loss 0.3516 acc 0.8752 macroF1 0.8748 | 0.9s  *best*
2026-09-22 19:55:13 | INFO | epoch   9 | lr 9.23e-04 | train loss 0.4554 acc 0.8343 | val loss 0.3434 acc 0.8747 macroF1 0.8731 | 0.9s
2026-09-22 19:55:14 | INFO | epoch  10 | lr 9.01e-04 | train loss 0.4481 acc 0.8342 | val loss 0.3426 acc 0.8753 macroF1 0.8745 | 0.9s
2026-09-22 19:55:15 | INFO | epoch  11 | lr 8.76e-04 | train loss 0.4358 acc 0.8391 | val loss 0.3337 acc 0.8818 macroF1 0.8811 | 0.9s  *best*
