2026-09-22 20:23:31 | INFO | Run fashion_mnist-mlp_no_aug-s42-20260922-202331 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:23:31 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:23:31 | INFO | Dataset fashion_mnist | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/fashion_mnist_split42_val0.1.json | train/val/test = 54000/6000/10000 | fingerprints {'train': '2378c8b39f1d0606', 'val': 'c3422ec2263f2769'}
2026-09-22 20:23:31 | INFO | Model mlp | trainable parameters: 536,586
2026-09-22 20:23:34 | INFO | epoch   1 | lr 2.38e-06 | train loss 0.6920 acc 0.7702 | val loss 0.4487 acc 0.8308 macroF1 0.8261 | 3.3s  *best*
2026-09-22 20:23:35 | INFO | epoch   2 | lr 1.00e-03 | train loss 0.4030 acc 0.8531 | val loss 0.3144 acc 0.8837 macroF1 0.8827 | 0.8s  *best*
2026-09-22 20:23:36 | INFO | epoch   3 | lr 9.98e-04 | train loss 0.3562 acc 0.8684 | val loss 0.3116 acc 0.8885 macroF1 0.8881 | 0.8s  *best*
2026-09-22 20:23:37 | INFO | epoch   4 | lr 9.94e-04 | train loss 0.3271 acc 0.8792 | val loss 0.3042 acc 0.8910 macroF1 0.8910 | 0.8s  *best*
2026-09-22 20:23:38 | INFO | epoch   5 | lr 9.86e-04 | train loss 0.3077 acc 0.8864 | val loss 0.2847 acc 0.8952 macroF1 0.8950 | 0.8s  *best*
2026-09-22 20:23:39 | INFO | epoch   6 | lr 9.75e-04 | train loss 0.2917 acc 0.8912 | val loss 0.2837 acc 0.8988 macroF1 0.8987 | 0.8s  *best*
2026-09-22 20:23:39 | INFO | epoch   7 | lr 9.60e-04 | train loss 0.2801 acc 0.8958 | val loss 0.2694 acc 0.9032 macroF1 0.9032 | 0.8s  *best*
2026-09-22 20:23:40 | INFO | epoch   8 | lr 9.43e-04 | train loss 0.2685 acc 0.8996 | val loss 0.2747 acc 0.8998 macroF1 0.9002 | 0.8s
2026-09-22 20:23:41 | INFO | epoch   9 | lr 9.23e-04 | train loss 0.2550 acc 0.9042 | val loss 0.2694 acc 0.9005 macroF1 0.9003 | 1.0s
2026-09-22 20:23:42 | INFO | epoch  10 | lr 9.01e-04 | train loss 0.2473 acc 0.9075 | val loss 0.2583 acc 0.9078 macroF1 0.9072 | 0.8s  *best*
2026-09-22 20:23:43 | INFO | epoch  11 | lr 8.76e-04 | train loss 0.2363 acc 0.9106 | val loss 0.2742 acc 0.9012 macroF1 0.9015 | 1.0s
2026-09-22 20:23:44 | INFO | epoch  12 | lr 8.48e-04 | train loss 0.2269 acc 0.9149 | val loss 0.2679 acc 0.9040 macroF1 0.9046 | 1.0s
2026-09-22 20:23:45 | INFO | epoch  13 | lr 8.18e-04 | train loss 0.2204 acc 0.9169 | val loss 0.2593 acc 0.9072 macroF1 0.9073 | 1.0s  *best*
2026-09-22 20:23:46 | INFO | epoch  14 | lr 7.86e-04 | train loss 0.2084 acc 0.9203 | val loss 0.2565 acc 0.9092 macroF1 0.9087 | 0.9s  *best*
2026-09-22 20:23:47 | INFO | epoch  15 | lr 7.52e-04 | train loss 0.2032 acc 0.9229 | val loss 0.2611 acc 0.9060 macroF1 0.9064 | 0.9s
2026-09-22 20:23:48 | INFO | epoch  16 | lr 7.17e-04 | train loss 0.1942 acc 0.9253 | val loss 0.2581 acc 0.9093 macroF1 0.9090 | 1.0s  *best*
2026-09-22 20:23:49 | INFO | epoch  17 | lr 6.81e-04 | train loss 0.1855 acc 0.9297 | val loss 0.2544 acc 0.9127 macroF1 0.9125 | 0.9s  *best*
2026-09-22 20:23:50 | INFO | epoch  18 | lr 6.43e-04 | train loss 0.1765 acc 0.9326 | val loss 0.2526 acc 0.9127 macroF1 0.9130 | 0.8s  *best*
2026-09-22 20:23:51 | INFO | epoch  19 | lr 6.04e-04 | train loss 0.1696 acc 0.9358 | val loss 0.2620 acc 0.9110 macroF1 0.9112 | 0.9s
2026-09-22 20:23:52 | INFO | epoch  20 | lr 5.65e-04 | train loss 0.1626 acc 0.9384 | val loss 0.2575 acc 0.9147 macroF1 0.9147 | 0.8s  *best*
2026-09-22 20:23:53 | INFO | epoch  21 | lr 5.25e-04 | train loss 0.1549 acc 0.9409 | val loss 0.2677 acc 0.9097 macroF1 0.9102 | 0.8s
2026-09-22 20:23:54 | INFO | epoch  22 | lr 4.85e-04 | train loss 0.1489 acc 0.9430 | val loss 0.2577 acc 0.9132 macroF1 0.9128 | 1.0s
2026-09-22 20:23:55 | INFO | epoch  23 | lr 4.45e-04 | train loss 0.1413 acc 0.9468 | val loss 0.2591 acc 0.9163 macroF1 0.9163 | 0.8s  *best*
2026-09-22 20:23:56 | INFO | epoch  24 | lr 4.06e-04 | train loss 0.1340 acc 0.9494 | val loss 0.2721 acc 0.9130 macroF1 0.9131 | 0.9s
2026-09-22 20:23:57 | INFO | epoch  25 | lr 3.67e-04 | train loss 0.1288 acc 0.9507 | val loss 0.2672 acc 0.9132 macroF1 0.9132 | 0.8s
2026-09-22 20:23:58 | INFO | epoch  26 | lr 3.29e-04 | train loss 0.1212 acc 0.9545 | val loss 0.2682 acc 0.9138 macroF1 0.9132 | 0.8s
2026-09-22 20:23:59 | INFO | epoch  27 | lr 2.93e-04 | train loss 0.1173 acc 0.9553 | val loss 0.2699 acc 0.9140 macroF1 0.9140 | 0.9s
2026-09-22 20:24:00 | INFO | epoch  28 | lr 2.58e-04 | train loss 0.1122 acc 0.9574 | val loss 0.2703 acc 0.9152 macroF1 0.9150 | 0.9s
2026-09-22 20:24:01 | INFO | epoch  29 | lr 2.24e-04 | train loss 0.1063 acc 0.9607 | val loss 0.2747 acc 0.9147 macroF1 0.9146 | 0.8s
2026-09-22 20:24:02 | INFO | epoch  30 | lr 1.92e-04 | train loss 0.1037 acc 0.9610 | val loss 0.2758 acc 0.9152 macroF1 0.9151 | 0.9s
2026-09-22 20:24:02 | INFO | epoch  31 | lr 1.62e-04 | train loss 0.0974 acc 0.9638 | val loss 0.2750 acc 0.9152 macroF1 0.9154 | 0.8s
2026-09-22 20:24:03 | INFO | epoch  32 | lr 1.34e-04 | train loss 0.0966 acc 0.9644 | val loss 0.2821 acc 0.9155 macroF1 0.9156 | 0.9s
2026-09-22 20:24:05 | INFO | epoch  33 | lr 1.09e-04 | train loss 0.0924 acc 0.9655 | val loss 0.2783 acc 0.9175 macroF1 0.9175 | 1.0s  *best*
