2026-09-22 20:38:02 | INFO | Run fashion_mnist-transformer_rows-s2026-20260922-203802 | device cuda | torch 2.14.0+cu126 | git {'commit': '4255cd22b2646ade4032fc561812bbcb1670bf90', 'dirty': True, 'tag': None}
2026-09-22 20:38:02 | WARNING | Uncommitted changes present: commit before final runs for traceability.
2026-09-22 20:38:02 | INFO | Dataset fashion_mnist | split /home/benjamin/Documents/26/DL/CO3133-A1-draft/data/splits/fashion_mnist_split42_val0.1.json | train/val/test = 54000/6000/10000 | fingerprints {'train': '2378c8b39f1d0606', 'val': 'c3422ec2263f2769'}
2026-09-22 20:38:02 | INFO | Model transformer | trainable parameters: 305,962
2026-09-22 20:38:08 | INFO | epoch   1 | lr 7.92e-07 | train loss 1.3286 acc 0.5480 | val loss 0.7761 acc 0.7235 macroF1 0.7140 | 5.5s  *best*
2026-09-22 20:38:11 | INFO | epoch   2 | lr 3.34e-04 | train loss 0.6988 acc 0.7430 | val loss 0.5240 acc 0.8102 macroF1 0.8061 | 2.8s  *best*
2026-09-22 20:38:14 | INFO | epoch   3 | lr 6.67e-04 | train loss 0.5863 acc 0.7801 | val loss 0.4663 acc 0.8348 macroF1 0.8306 | 3.0s  *best*
2026-09-22 20:38:17 | INFO | epoch   4 | lr 1.00e-03 | train loss 0.5268 acc 0.8049 | val loss 0.4148 acc 0.8437 macroF1 0.8418 | 2.9s  *best*
2026-09-22 20:38:20 | INFO | epoch   5 | lr 9.98e-04 | train loss 0.4889 acc 0.8181 | val loss 0.4126 acc 0.8440 macroF1 0.8435 | 2.9s  *best*
2026-09-22 20:38:23 | INFO | epoch   6 | lr 9.93e-04 | train loss 0.4604 acc 0.8281 | val loss 0.3859 acc 0.8560 macroF1 0.8546 | 2.9s  *best*
2026-09-22 20:38:26 | INFO | epoch   7 | lr 9.84e-04 | train loss 0.4403 acc 0.8356 | val loss 0.3546 acc 0.8682 macroF1 0.8667 | 2.9s  *best*
2026-09-22 20:38:29 | INFO | epoch   8 | lr 9.72e-04 | train loss 0.4237 acc 0.8416 | val loss 0.3591 acc 0.8667 macroF1 0.8650 | 2.9s
2026-09-22 20:38:33 | INFO | epoch   9 | lr 9.56e-04 | train loss 0.4112 acc 0.8460 | val loss 0.3504 acc 0.8710 macroF1 0.8694 | 3.1s  *best*
2026-09-22 20:38:36 | INFO | epoch  10 | lr 9.37e-04 | train loss 0.3996 acc 0.8503 | val loss 0.3382 acc 0.8773 macroF1 0.8755 | 3.0s  *best*
2026-09-22 20:38:39 | INFO | epoch  11 | lr 9.15e-04 | train loss 0.3896 acc 0.8548 | val loss 0.3244 acc 0.8835 macroF1 0.8821 | 2.9s  *best*
